id,date_time,item_category,item_name,item_description,uom_id,units,store_id,user_id,cost,
2544,2018-03-06,9,G.I.Cross 25 mm,,12,1,14,0,0,
2545,2018-03-06,9,G.I.Cross 32 mm,,12,1,14,0,0,
2546,2018-03-06,9,G.I.Cross 40 mm,,12,1,14,0,0,
2547,2018-03-06,9,G.I.Cross 50 mm,,12,1,14,0,0,
2548,2018-03-06,9,G.I.Nippal-2" 15 mm,,12,1,14,0,5,
2549,2018-03-06,9,G.I.Nippal-3" 15 mm,,12,1,14,0,49,
2550,2018-03-06,9,G.I.Nippal-4" 15 mm,,12,1,14,0,24,
2551,2018-03-06,9,G.I.Nippal-6" 15 mm,,12,1,14,0,79,
2552,2018-03-06,9,G.I.Nippal-9" 15 mm,,12,1,14,0,2,
2553,2018-03-06,9,G.I.Nippal-12" 15 mm,,12,1,14,0,19,
2554,2018-03-06,9,G.I.Nippal-18" 15 mm,,12,1,14,0,1,
2555,2018-03-06,9,G.I.Nippal-24" 15 mm,,12,1,14,0,0,
2556,2018-03-06,9,G.I.Nippal-30" 15 mm,,12,1,14,0,0,
2557,2018-03-06,9,G.I.Nippal-36" 15 mm,,12,1,14,0,0,
2558,2018-03-06,9,G.I.Nippal-48" 15 mm,,12,1,14,0,0,
2559,2018-03-06,9,G.I.Nippal-2" 20mm,,12,1,14,0,0,
2560,2018-03-06,9,G.I.Nippal-3" 20mm,,12,1,14,0,0,
2561,2018-03-06,9,G.I.Nippal-4" 20mm,,12,1,14,0,6,
2562,2018-03-06,9,G.I.Nippal-6" 20mm,,12,1,14,0,2,
2563,2018-03-06,9,G.I.Nippal-9" 20mm,,12,1,14,0,0,
2564,2018-03-06,9,G.I.Nippal-12" 20mm,,12,1,14,0,5,
2565,2018-03-06,9,G.I.Nippal-18" 20mm,,12,1,14,0,0,
2566,2018-03-06,9,G.I.Nippal-24" 20mm,,12,1,14,0,0,
2567,2018-03-06,9,G.I.Nippal-30" 20mm,,12,1,14,0,0,
2568,2018-03-06,9,G.I.Nippal-36" 20mm,,12,1,14,0,0,
2569,2018-03-06,9,G.I.Nippal-48" 20mm,,12,1,14,0,0,
2570,2018-03-06,9,G.I.Nippal-2" 25 mm,,12,1,14,0,47,
2571,2018-03-06,9,G.I.Nippal-3" 25 mm,,12,1,14,0,61,
2572,2018-03-06,9,G.I.Nippal-4" 25 mm,,12,1,14,0,44,
2573,2018-03-06,9,G.I.Nippal-6" 25 mm,,12,1,14,0,41,
2574,2018-03-06,9,G.I.Nippal-9" 25 mm,,12,1,14,0,23,
2575,2018-03-06,9,G.I.Nippal-12" 25 mm,,12,1,14,0,5,
2576,2018-03-06,9,G.I.Nippal-18" 25 mm,,12,1,14,0,0,
2577,2018-03-06,9,G.I.Nippal-24" 25 mm,,12,1,14,0,0,
2578,2018-03-06,9,G.I.Nippal-30" 25 mm,,12,1,14,0,0,
2579,2018-03-06,9,G.I.Nippal-36" 25 mm,,12,1,14,0,0,
2580,2018-03-06,9,G.I.Nippal-48" 25 mm,,12,1,14,0,0,
2581,2018-03-06,9,G.I.Nippal-2" 32 mm,,12,1,14,0,20,
2582,2018-03-06,9,G.I.Nippal-3" 32 mm,,12,1,14,0,0,
2583,2018-03-06,9,G.I.Nippal-4" 32 mm,,12,1,14,0,0,
2584,2018-03-06,9,G.I.Nippal-6" 32 mm,,12,1,14,0,49,
2585,2018-03-06,9,G.I.Nippal-9" 32 mm,,12,1,14,0,25,
2586,2018-03-06,9,G.I.Nippal-12" 32 mm,,12,1,14,0,0,
2587,2018-03-06,9,G.I.Nippal-18" 32 mm,,12,1,14,0,0,
2588,2018-03-06,9,G.I.Nippal-24" 32 mm,,12,1,14,0,0,
2589,2018-03-06,9,G.I.Nippal-30" 32 mm,,12,1,14,0,0,
2590,2018-03-06,9,G.I.Nippal-36" 32 mm,,12,1,14,0,0,
2591,2018-03-06,9,G.I.Nippal-48" 32 mm,,12,1,14,0,0,
2592,2018-03-06,9,G.I.Nippal-2" 40 mm,,12,1,14,0,2,
2593,2018-03-06,9,G.I.Nippal-3" 40 mm,,12,1,14,0,2,
2594,2018-03-06,9,G.I.Nippal-4" 40 mm,,12,1,14,0,0,
2595,2018-03-06,9,G.I.Nippal-6" 40 mm,,12,1,14,0,0,
2596,2018-03-06,9,G.I.Nippal-9" 40 mm,,12,1,14,0,6,
2597,2018-03-06,9,G.I.Nippal-12" 40 mm,,12,1,14,0,1,
2598,2018-03-06,9,G.I.Nippal-2" 50mm,,12,1,14,0,0,
2599,2018-03-06,9,G.I.Nippal-3" 50mm,,12,1,14,0,0,
2600,2018-03-06,9,G.I.Nippal-4" 50mm,,12,1,14,0,0,
2601,2018-03-06,9,G.I.Nippal-6" 50mm,,12,1,14,0,0,
2602,2018-03-06,9,G.I.Nippal-9" 50mm,,12,1,14,0,1,
2603,2018-03-06,9,G.I.Nippal-12" 50mm,,12,1,14,0,12,
2604,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 15 mm Zoloto / Bull / Idal",,12,1,14,0,6,
