,,06-01-2018,06-02-2018,06-03-2018,06-04-2018,06-05-2018,06-06-2018,06-07-2018,06-08-2018,06-09-2018,06-10-2018,06-11-2018,06-12-2018,6/13/2018,6/14/2018,6/15/2018,6/16/2018,6/17/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/23/2018,6/24/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,6/30/2018
7,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,130,131,131
7,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
7.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2022
7.1,SAH_HRS,131,131,,131,131,131,130,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,130,131,131,130
7.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
11,PP_PCS,1335,1850,,793,,,,64,169,,231,293,355,418,480,542,,604,666,684,729,764,789,,805,809,809,807,809,809
11,SAH_HRS,75,104,,45,,,,11,30,,40,51,62,73,84,95,,106,117,120,127,134,138,,141,141,141,141,141,141
11,PEF_PER,35,52,,65,,,,7,14,,19,24,29,34,39,44,,49,54,55,59,61,63,,65,65,65,65,65,65
11.1,PP_PCS,,,,,,,11,143,205,,267,329,392,454,516,578,,640,684,703,754,779,800,,809,809,807,809,809,871
11.1,SAH_HRS,,,,,,,2,25,36,,47,58,68,79,90,101,,112,120,123,132,136,140,,141,141,141,141,141,152
11.1,PEF_PER,,,,,,,3,11,16,,21,26,31,36,41,46,,51,55,56,61,63,64,,65,65,65,65,65,70
12,PP_PCS,1675,2265,,2433,2565,2654,2653,2639,2599,,1357,122,165,207,249,292,,342,398,732,882,623,292,,124,164,204,244,284,336
12,SAH_HRS,84,111,,120,126,130,130,130,130,,69,13,17,21,26,30,,35,41,75,91,64,30,,13,18,22,27,31,37
12,PEF_PER,41,51,,55,59,60,60,60,60,,48,6,8,10,12,14,,16,19,34,40,29,17,,6,8,10,12,14,17
12.1,PP_PCS,1,310,,462,613,764,916,1067,1219,,1370,1521,1665,1673,1820,1880,,1939,1968,1968,1968,1968,1968,,1968,1968,1968,1968,1968,1968
12.1,SAH_HRS,,22,,33,44,55,66,77,88,,98,109,120,120,131,135,,139,141,141,141,141,141,,141,141,141,141,141,141
12.1,PEF_PER,,10,,15,20,25,30,35,40,,45,50,55,55,60,62,,64,65,65,65,65,65,,65,65,65,65,65,65
13,PP_PCS,890,1113,,1803,2895,2896,2900,2788,548,,588,739,891,1042,1194,1345,,1496,1648,1665,1799,1817,1817,,1817,1817,1817,1817,1817,1817
13,SAH_HRS,43,54,,88,141,141,142,136,36,,42,53,64,75,86,97,,107,118,120,129,130,130,,130,130,130,130,130,130
