Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
31,2,PP_PCS,0,0,0,796,3395,3395,0,3395,3387,3395,3169,3393,3395,0,0,0,0,3321,563,1126,0,1689,2253,2253,2253,0,2253,0,2256,2253,2253
31,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,16,33,0,49,65,65,65,0,65,0,65,65,65
31,2,SAH_HRS,0,0,0,44,189,189,0,189,189,189,176,189,189,0,0,0,0,185,44,88,0,132,176,176,176,0,176,0,176,176,176
32,2,PP_PCS,0,0,0,1263,3395,3395,0,3395,3393,3395,3169,3395,3399,0,0,0,0,3395,3395,3395,0,3395,3395,1799,853,0,1417,0,1980,2253,2253
32,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,70,39,25,0,41,0,57,65,65
32,2,SAH_HRS,0,0,0,70,189,189,0,189,189,189,176,189,189,0,0,0,0,189,189,189,0,189,189,103,67,0,110,0,154,176,176
33,2,PP_PCS,1518,1304,0,788,1176,0,0,1185,1778,2371,2364,2691,2845,0,0,0,0,3007,576,982,0,1483,1984,2003,2003,0,2002,0,2003,2003,2003
33,2,PEF_PER,70,70,0,70,70,0,0,27,41,55,59,62,66,0,0,0,0,70,43,32,0,48,64,65,65,0,65,0,65,65,65
33,2,SAH_HRS,84,72,0,44,65,0,0,66,99,132,132,150,158,0,0,0,0,167,42,77,0,116,155,156,156,0,156,0,156,156,156
34,2,PP_PCS,0,0,0,1056,2839,1047,0,1185,1778,2370,2364,2694,2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,PEF_PER,0,0,0,70,70,70,0,27,41,55,59,62,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,SAH_HRS,0,0,0,62,168,62,0,66,99,132,132,150,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,PP_PCS,0,0,0,19,1186,0,0,1507,3016,3018,2817,3022,3018,0,0,0,0,3018,3018,889,0,909,1409,1910,2003,0,2003,0,2005,2003,2003
35,2,PEF_PER,0,0,0,70,70,0,0,35,70,70,70,70,70,0,0,0,0,70,70,42,0,30,46,62,65,0,65,0,65,65,65
35,2,SAH_HRS,0,0,0,1,66,0,0,84,168,168,157,168,168,0,0,0,0,168,168,57,0,71,110,149,156,0,156,0,156,156,156
36,2,PP_PCS,0,0,0,1056,2839,1443,0,1040,1699,2365,2476,2653,2653,0,0,0,0,2653,2649,2653,0,2653,2653,2653,2653,0,2653,0,2653,861,897
36,2,PEF_PER,0,0,0,70,70,40,0,27,45,62,70,70,70,0,0,0,0,70,70,70,0,70,70,70,70,0,70,0,70,41,29
36,2,SAH_HRS,0,0,0,62,168,86,0,66,108,150,157,168,168,0,0,0,0,168,168,168,0,168,168,168,168,0,168,0,168,59,70
37,2,PP_PCS,0,0,0,0,995,1516,0,2037,2214,2352,2331,2640,2655,0,0,0,0,2653,2653,2653,0,2653,2653,2653,2516,0,414,0,807,1201,1579
37,2,PEF_PER,0,0,0,0,26,40,0,54,58,62,66,70,70,0,0,0,0,70,70,70,0,70,70,70,35,0,13,0,26,39,51
37,2,SAH_HRS,0,0,0,0,63,96,0,129,140,149,148,167,168,0,0,0,0,168,168,168,0,168,168,168,159,0,32,0,63,94,123
38,2,PP_PCS,1518,692,0,1015,74,662,0,1326,1989,2324,2078,2368,2510,0,0,0,0,2648,2653,2653,0,2653,2653,2653,976,0,671,0,1065,1458,1650
38,2,PEF_PER,70,70,0,70,70,17,0,35,52,62,59,62,66,0,0,0,0,70,70,70,0,70,70,70,40,0,22,0,35,47,54
38,2,SAH_HRS,84,38,0,56,4,42,0,84,126,147,132,150,159,0,0,0,0,168,168,168,0,168,168,168,65,0,52,0,83,114,129
39,2,PP_PCS,0,0,0,986,2653,2653,0,2653,2652,2653,2476,2654,2653,0,0,0,0,2653,2653,2651,0,2653,2653,2653,2653,0,489,0,393,786,1180
39,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,70,70,70,0,70,0,13,26,38
39,2,SAH_HRS,0,0,0,62,168,168,0,168,168,168,157,168,168,0,0,0,0,168,168,168,0,168,168,168,168,0,31,0,31,61,92
40,2,PP_PCS,0,0,0,783,3018,3018,0,3018,3016,3018,2821,3018,3018,0,0,0,0,2845,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,SAH_HRS,0,0,0,44,168,168,0,168,168,168,157,168,168,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,PP_PCS,1077,0,0,0,2839,2839,0,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,PEF_PER,70,0,0,0,70,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,SAH_HRS,64,0,0,0,168,168,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,PP_PCS,0,0,0,0,662,1326,0,1989,2652,2649,2476,2652,2652,0,0,0,0,2653,2653,2653,0,2653,2653,2653,2656,0,2653,0,2653,2653,715
43,2,PEF_PER,0,0,0,0,17,35,0,52,70,70,70,70,70,0,0,0,0,70,70,70,0,70,70,70,70,0,70,0,70,70,42
43,2,SAH_HRS,0,0,0,0,42,84,0,126,168,168,157,168,168,0,0,0,0,168,168,168,0,168,168,168,168,0,168,0,168,168,51
45,2,PP_PCS,0,0,0,887,2653,2650,0,2653,2653,2653,2476,2650,2653,0,0,0,0,2653,2653,2653,0,2653,2653,2653,2653,0,2653,0,2653,2653,2653
45,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,70,70,70,0,70,0,70,70,70
